Date,BTCUSD,ETHUSD,SOLUSD,XRPUSD,DOGEUSD,ADAUSD,LINKUSD,LTCUSD,BCHUSD,XMRUSD
2015-02-26,237.7100067138672,,,,,,,1.812540054321289,,
2015-02-27,256.65301513671875,,,,,,,1.8753900527954102,,
2015-02-28,254.69200134277344,,,,,,,1.8492100238800049,,
2015-03-01,261.6600036621094,,,,,,,1.911679983139038,,
2015-03-02,276.3009948730469,,,,,,,1.9494400024414062,,
2015-03-03,285.7959899902344,,,,,,,1.9722000360488892,,
2015-03-04,284.2250061035156,,,,,,,1.9736499786376953,,
2015-03-05,281.6669921875,,,,,,,1.9397300481796265,,
2015-03-06,277.6080017089844,,,,,,,1.929229974746704,,
2015-03-07,277.85400390625,,,,,,,1.9193400144577026,,
2015-03-08,277.8580017089844,,,,,,,1.922860026359558,,
2015-03-09,292.70098876953125,,,,,,,1.945739984512329,,
2015-03-10,300.04400634765625,,,,,,,2.0834500789642334,,
2015-03-11,297.3909912109375,,,,,,,2.036220073699951,,
2015-03-12,297.0880126953125,,,,,,,2.071729898452759,,
2015-03-13,294.49798583984375,,,,,,,2.0480198860168457,,
2015-03-14,286.3420104980469,,,,,,,2.013979911804199,,
2015-03-15,286.52899169921875,,,,,,,2.034019947052002,,
2015-03-16,294.11199951171875,,,,,,,2.0616300106048584,,
2015-03-17,292.364990234375,,,,,,,2.0536999702453613,,
2015-03-18,285.33599853515625,,,,,,,1.9877599477767944,,
2015-03-19,264.2439880371094,,,,,,,1.7901500463485718,,
2015-03-20,264.8479919433594,,,,,,,1.792330026626587,,
2015-03-21,262.1960144042969,,,,,,,1.7678200006484985,,
2015-03-22,269.74700927734375,,,,,,,1.797719955444336,,
2015-03-23,277.2969970703125,,,,,,,1.7996799945831299,,
2015-03-24,267.00299072265625,,,,,,,1.7778300046920776,,
2015-03-25,249.19000244140625,,,,,,,1.7864700555801392,,
2015-03-26,254.35400390625,,,,,,,1.7308800220489502,,
2015-03-27,256.8110046386719,,,,,,,1.6984599828720093,,
