Date,BTCUSD,ETHUSD,SOLUSD,XRPUSD,DOGEUSD,ADAUSD,LINKUSD,LTCUSD,BCHUSD,XMRUSD
2015-02-17,232.31399536132812,,,,,,,1.7926000356674194,,
2015-02-18,232.33999633789062,,,,,,,1.8040000200271606,,
2015-02-19,235.5919952392578,,,,,,,1.8163399696350098,,
2015-02-20,239.2989959716797,,,,,,,1.8322199583053589,,
2015-02-21,243.1840057373047,,,,,,,1.8350900411605835,,
2015-02-22,233.8509979248047,,,,,,,1.7851500511169434,,
2015-02-23,232.42100524902344,,,,,,,1.7809200286865234,,
2015-02-24,236.40199279785156,,,,,,,1.804360032081604,,
2015-02-25,235.52999877929688,,,,,,,1.7914799451828003,,
2015-02-26,234.2570037841797,,,,,,,1.7932000160217285,,
2015-02-27,236.43600463867188,,,,,,,1.7971199750900269,,
2015-02-28,249.47900390625,,,,,,,1.8194600343704224,,
2015-03-01,245.93299865722656,,,,,,,1.8078299760818481,,
2015-03-02,258.31298828125,,,,,,,1.863569974899292,,
2015-03-03,268.1610107421875,,,,,,,1.9070700407028198,,
2015-03-04,268.1260070800781,,,,,,,1.9210200309753418,,
2015-03-05,264.7690124511719,,,,,,,1.8644399642944336,,
2015-03-06,270.0150146484375,,,,,,,1.878190040588379,,
2015-03-07,270.13299560546875,,,,,,,1.8821799755096436,,
2015-03-08,272.56500244140625,,,,,,,1.8775299787521362,,
2015-03-09,273.89300537109375,,,,,,,1.8891299962997437,,
2015-03-10,289.7430114746094,,,,,,,1.9369299411773682,,
2015-03-11,290.50799560546875,,,,,,,1.986340045928955,,
2015-03-12,292.4129943847656,,,,,,,1.9981900453567505,,
2015-03-13,285.3370056152344,,,,,,,2.007960081100464,,
2015-03-14,280.97601318359375,,,,,,,1.993149995803833,,
2015-03-15,280.9960021972656,,,,,,,1.9904500246047974,,
2015-03-16,285.68499755859375,,,,,,,2.0173399448394775,,
2015-03-17,284.3739929199219,,,,,,,1.9772100448608398,,
2015-03-18,249.8699951171875,,,,,,,1.7286399602890015,,
2015-03-19,248.63600158691406,,,,,,,1.6536200046539307,,
2015-03-20,259.1619873046875,,,,,,,1.7514599561691284,,
2015-03-21,255.64999389648438,,,,,,,1.7255200147628784,,
2015-03-22,259.5899963378906,,,,,,,1.7400100231170654,,
2015-03-23,261.7449951171875,,,,,,,1.7519099712371826,,
2015-03-24,244.15499877929688,,,,,,,1.6515899896621704,,
2015-03-25,236.51499938964844,,,,,,,1.6111700534820557,,
2015-03-26,244.90499877929688,,,,,,,1.6468000411987305,,
2015-03-27,245.21299743652344,,,,,,,1.6666300296783447,,
